operacao,dado,tempo_ns,colisoes
INSERCAO,698351333,430,0
INSERCAO,529294491,125,0
INSERCAO,526454921,61,0
INSERCAO,648070347,52,0
INSERCAO,829708007,55,0
INSERCAO,692983215,53,0
INSERCAO,792567154,39,0
INSERCAO,797107022,39,0
INSERCAO,592622681,97,0
INSERCAO,667589032,43,0
INSERCAO,142803213,44,0
INSERCAO,932522173,48,0
INSERCAO,294023053,45,0
INSERCAO,836977161,49,0
INSERCAO,166018526,100,0
INSERCAO,956126274,44,0
INSERCAO,780429097,51,0
INSERCAO,241881019,44,0
INSERCAO,462774010,44,0
INSERCAO,999704681,160,1
INSERCAO,432894319,45,0
INSERCAO,831322674,54,0
INSERCAO,505053723,46,0
INSERCAO,392660688,93,0
INSERCAO,036672407,49,0
INSERCAO,836236319,77,1
INSERCAO,758469330,105,0
INSERCAO,596261994,108,0
INSERCAO,634878808,101,0
INSERCAO,078714315,103,0
INSERCAO,798769883,45,0
INSERCAO,183575663,93,0
INSERCAO,520097559,57,0
INSERCAO,806586764,44,0
INSERCAO,616987620,44,0
INSERCAO,254641876,49,0
INSERCAO,618873101,45,0
INSERCAO,088059496,50,0
INSERCAO,404507074,44,0
INSERCAO,297440187,52,0
INSERCAO,783536336,54,0
INSERCAO,379959923,43,0
INSERCAO,856579083,48,0
INSERCAO,145837273,48,0
INSERCAO,265277396,45,0
INSERCAO,745333279,111,0
INSERCAO,688386104,47,0
INSERCAO,006297401,44,0
INSERCAO,412827145,49,0
INSERCAO,862871557,48,0
INSERCAO,897261146,47,0
INSERCAO,898601820,102,0
INSERCAO,101043194,112,0
INSERCAO,648822540,95,0
INSERCAO,657365231,47,0
INSERCAO,921457885,47,0
INSERCAO,778671688,82,1
INSERCAO,792484200,55,0
INSERCAO,755899384,105,0
INSERCAO,259680057,49,0
INSERCAO,106505290,104,0
INSERCAO,856074775,58,0
INSERCAO,861236807,52,0
INSERCAO,150288398,66,0
INSERCAO,108792369,56,0
INSERCAO,029362962,108,0
INSERCAO,249105267,103,0
INSERCAO,028391850,46,0
INSERCAO,906298328,50,0
INSERCAO,864222908,55,0
INSERCAO,276042917,48,0
INSERCAO,456479655,64,0
INSERCAO,225217849,49,0
INSERCAO,996804352,64,0
INSERCAO,506667322,49,0
INSERCAO,719163414,54,0
INSERCAO,420035936,50,0
INSERCAO,060041900,89,0
INSERCAO,129293339,49,0
INSERCAO,929041088,63,0
INSERCAO,398298832,49,0
INSERCAO,052852350,49,0
INSERCAO,845582623,44,0
INSERCAO,619902746,58,0
INSERCAO,989488197,64,0
INSERCAO,191293162,44,0
INSERCAO,660530204,44,0
INSERCAO,024676276,46,0
INSERCAO,847281574,91,0
INSERCAO,659832328,85,1
INSERCAO,535644013,48,0
INSERCAO,827165159,44,0
INSERCAO,840416632,43,0
INSERCAO,533981428,44,0
INSERCAO,771064211,44,0
INSERCAO,721246537,53,0
INSERCAO,093308446,107,0
INSERCAO,643470483,49,0
INSERCAO,387487183,49,0
INSERCAO,762646131,102,0
INSERCAO,216067841,46,0
INSERCAO,380528505,286,0
INSERCAO,280753696,41,0
INSERCAO,270625834,45,0
INSERCAO,375250358,84,0
INSERCAO,548978502,44,0
INSERCAO,011614611,95,0
INSERCAO,471268530,52,0
INSERCAO,731190271,44,0
INSERCAO,378251882,58,0
INSERCAO,972778627,41,0
INSERCAO,490194349,59,0
INSERCAO,343014705,53,0
INSERCAO,856218592,99,0
INSERCAO,912798113,44,0
INSERCAO,039226949,103,0
INSERCAO,960519162,93,1
INSERCAO,049097303,54,0
INSERCAO,589937774,44,0
INSERCAO,127585830,44,0
INSERCAO,376549075,53,0
INSERCAO,180064441,51,0
INSERCAO,020322295,47,0
INSERCAO,929312283,61,0
INSERCAO,043911569,47,0
INSERCAO,885460312,62,0
INSERCAO,715968958,45,0
INSERCAO,150030363,54,0
INSERCAO,760549815,63,0
INSERCAO,305013945,48,0
INSERCAO,619246594,49,0
INSERCAO,638352950,52,0
