operacao,dado,tempo_ns,colisoes
INSERCAO,638586598,2460,0
INSERCAO,692941934,1583,0
INSERCAO,390783470,1436,0
INSERCAO,662901082,1225,0
INSERCAO,271213166,1312,0
INSERCAO,123217259,1095,0
INSERCAO,141171519,1875,2
INSERCAO,855397305,1103,0
INSERCAO,680072668,4302,0
INSERCAO,742958652,1114,0
INSERCAO,625281557,999,0
INSERCAO,853916974,1468,1
INSERCAO,572392962,1318,1
INSERCAO,344280498,1540,3
INSERCAO,031012867,1036,0
INSERCAO,946217327,5259,0
INSERCAO,632838046,1584,2
INSERCAO,345780562,1399,2
INSERCAO,234716186,1064,0
INSERCAO,267017055,9636,1
INSERCAO,105153294,1687,3
INSERCAO,845081124,1363,1
INSERCAO,474818289,1028,0
INSERCAO,098930652,1348,1
INSERCAO,196599587,1451,2
INSERCAO,299977753,1008,0
INSERCAO,690577093,1819,7
INSERCAO,000057414,2878,7
INSERCAO,784807181,1338,1
INSERCAO,447413273,1331,1
INSERCAO,666241977,8224,0
INSERCAO,946811534,1533,5
INSERCAO,983536809,1133,0
INSERCAO,212307006,1530,4
INSERCAO,782387446,1117,0
INSERCAO,117417132,1808,8
INSERCAO,292892470,1038,0
INSERCAO,486037389,919,0
INSERCAO,042006378,950,0
INSERCAO,148327926,1248,1
INSERCAO,235205632,1019,0
INSERCAO,203987025,1047,0
INSERCAO,029065851,1058,0
INSERCAO,391481863,973,0
INSERCAO,159220390,1387,1
INSERCAO,560181236,1068,0
INSERCAO,254399120,1043,0
INSERCAO,212259146,1361,1
INSERCAO,819750573,1950,8
INSERCAO,819989275,997,0
INSERCAO,831850736,1616,6
INSERCAO,136529504,1045,0
INSERCAO,790654000,1383,1
INSERCAO,455729286,1412,2
INSERCAO,016755207,1690,3
INSERCAO,981753624,1156,0
INSERCAO,411513632,1418,1
INSERCAO,835906454,1380,1
INSERCAO,455302440,1054,0
INSERCAO,039664742,1848,9
INSERCAO,178953004,31891,0
INSERCAO,200746389,1200,0
INSERCAO,906596397,1354,0
INSERCAO,890238634,1256,0
INSERCAO,167189980,2115,0
INSERCAO,066547876,850,0
INSERCAO,432786433,6497,1
INSERCAO,999690260,849,0
INSERCAO,740345585,1512,1
INSERCAO,099847718,1404,1
INSERCAO,395545896,919,0
INSERCAO,459945397,1393,1
INSERCAO,511199491,806,0
INSERCAO,475780552,738,0
INSERCAO,765734663,1404,1
INSERCAO,296337251,1312,1
INSERCAO,509468418,942,0
INSERCAO,861078699,1341,1
INSERCAO,623800087,1408,1
INSERCAO,147406255,1868,6
INSERCAO,611592983,826,0
INSERCAO,522982551,819,0
INSERCAO,113239566,1402,2
INSERCAO,131832388,1246,1
INSERCAO,276214421,1121,1
INSERCAO,963511990,1429,2
INSERCAO,985002444,1582,1
INSERCAO,805772384,1271,1
INSERCAO,708070106,1228,1
INSERCAO,549627506,1221,1
INSERCAO,437110128,1355,2
INSERCAO,035561357,1250,1
INSERCAO,451453606,1458,2
INSERCAO,859427566,1984,5
INSERCAO,340608260,1013,0
INSERCAO,804917569,1093,0
INSERCAO,597228854,1324,1
INSERCAO,463724768,877,0
INSERCAO,764924273,916,0
INSERCAO,408545894,1438,1
BUSCA,638586598,2203,0
BUSCA,692941934,1395,0
BUSCA,390783470,834,0
BUSCA,662901082,725,0
BUSCA,271213166,716,0
BUSCA,123217259,658,0
BUSCA,141171519,779,0
BUSCA,855397305,636,0
BUSCA,680072668,615,0
BUSCA,742958652,598,0
BUSCA,625281557,680,0
BUSCA,853916974,898,0
BUSCA,572392962,711,0
BUSCA,344280498,598,0
BUSCA,031012867,633,0
BUSCA,946217327,722,0
BUSCA,632838046,583,0
BUSCA,345780562,585,0
BUSCA,234716186,516,0
BUSCA,267017055,590,0
BUSCA,105153294,901,0
BUSCA,845081124,566,0
BUSCA,474818289,558,0
BUSCA,098930652,949,0
BUSCA,196599587,982,0
BUSCA,299977753,652,0
BUSCA,690577093,799,0
BUSCA,000057414,1829,0
BUSCA,784807181,683,0
BUSCA,447413273,769,0
BUSCA,666241977,629,0
BUSCA,946811534,862,0
BUSCA,983536809,493,0
BUSCA,212307006,816,0
BUSCA,782387446,516,0
BUSCA,117417132,558,0
BUSCA,292892470,575,0
BUSCA,486037389,561,0
BUSCA,042006378,554,0
BUSCA,148327926,888,0
BUSCA,235205632,528,0
BUSCA,203987025,566,0
BUSCA,029065851,532,0
BUSCA,391481863,557,0
BUSCA,159220390,595,0
BUSCA,560181236,584,0
BUSCA,254399120,512,0
BUSCA,212259146,519,0
BUSCA,819750573,507,0
BUSCA,819989275,477,0
BUSCA,831850736,801,0
BUSCA,136529504,479,0
BUSCA,790654000,657,0
BUSCA,455729286,528,0
BUSCA,016755207,473,0
BUSCA,981753624,587,0
BUSCA,411513632,675,0
BUSCA,835906454,493,0
BUSCA,455302440,473,0
BUSCA,039664742,476,0
BUSCA,178953004,606,0
BUSCA,200746389,482,0
BUSCA,906596397,482,0
BUSCA,890238634,486,0
BUSCA,167189980,481,0
BUSCA,066547876,458,0
BUSCA,432786433,663,0
BUSCA,999690260,493,0
BUSCA,740345585,905,0
BUSCA,099847718,564,0
BUSCA,395545896,526,0
BUSCA,459945397,538,0
BUSCA,511199491,457,0
BUSCA,475780552,489,0
