operacao,dado,tempo_ns,colisoes
INSERCAO,318670467,225,27
INSERCAO,446160718,221,19
INSERCAO,377886193,270,18
INSERCAO,989672395,236,27
INSERCAO,832128360,335,25
INSERCAO,522708959,272,14
INSERCAO,510225662,214,17
INSERCAO,082544780,303,26
INSERCAO,391785301,300,23
INSERCAO,226639210,250,27
INSERCAO,944401566,305,21
INSERCAO,174742878,306,20
INSERCAO,864767875,317,28
INSERCAO,207776719,213,15
INSERCAO,644543220,259,28
INSERCAO,346363123,286,19
INSERCAO,622628738,248,21
INSERCAO,435727136,248,22
INSERCAO,489074050,315,29
INSERCAO,322001155,297,29
INSERCAO,173657326,281,23
INSERCAO,688919001,269,24
INSERCAO,486756465,245,30
INSERCAO,049482968,350,22
INSERCAO,329651921,342,25
INSERCAO,009740925,241,31
INSERCAO,547067878,290,23
INSERCAO,707516053,217,20
INSERCAO,171897467,381,28
INSERCAO,772995455,307,32
INSERCAO,470400658,282,24
INSERCAO,191417567,305,29
INSERCAO,705383320,529,30
INSERCAO,922711827,252,30
INSERCAO,878573726,484,24
INSERCAO,116581861,313,26
INSERCAO,614918391,298,27
INSERCAO,338998902,225,18
INSERCAO,677511769,296,16
INSERCAO,310246984,288,21
INSERCAO,682319291,276,28
INSERCAO,094589498,322,25
INSERCAO,769140154,243,22
INSERCAO,411251485,299,33
INSERCAO,929349340,413,31
INSERCAO,649685709,270,17
INSERCAO,921328298,352,26
INSERCAO,868258159,247,18
INSERCAO,946925074,323,23
INSERCAO,250699213,274,21
INSERCAO,880133026,328,25
INSERCAO,237973319,218,19
INSERCAO,599862719,283,20
INSERCAO,512015047,354,31
INSERCAO,919168099,387,21
INSERCAO,657927979,275,22
INSERCAO,600153444,395,24
INSERCAO,839343698,288,27
INSERCAO,938920929,278,23
INSERCAO,210516158,446,28
INSERCAO,221656648,255,29
INSERCAO,481471951,376,29
INSERCAO,922111916,366,26
INSERCAO,651797636,236,27
INSERCAO,232976504,301,25
INSERCAO,743383900,640,32
INSERCAO,815953081,259,30
INSERCAO,086817638,322,30
INSERCAO,659647313,271,22
INSERCAO,668903775,438,34
INSERCAO,451145090,369,33
INSERCAO,440967461,304,31
INSERCAO,987021682,452,19
INSERCAO,725876375,312,35
INSERCAO,935208522,274,20
INSERCAO,265897595,314,36
INSERCAO,896704979,330,24
INSERCAO,605910717,463,32
INSERCAO,828560254,346,26
INSERCAO,952041168,295,31
INSERCAO,570640367,512,33
INSERCAO,604329430,510,34
INSERCAO,823274039,276,25
INSERCAO,311399318,316,32
INSERCAO,594906397,415,34
INSERCAO,489425944,278,27
INSERCAO,951488221,300,32
INSERCAO,457633089,239,26
INSERCAO,359491325,429,37
INSERCAO,377517174,335,28
INSERCAO,235144678,308,33
INSERCAO,337409805,349,38
INSERCAO,907029962,279,21
INSERCAO,193836730,577,35
INSERCAO,659820399,348,27
INSERCAO,271224155,360,39
INSERCAO,586100382,220,22
INSERCAO,489622714,345,29
INSERCAO,581829497,377,35
INSERCAO,719779413,300,23
INSERCAO,814986135,360,40
INSERCAO,965481559,351,28
INSERCAO,280242378,318,34
INSERCAO,615301759,246,29
INSERCAO,856959090,525,36
INSERCAO,832645303,223,24
INSERCAO,844000238,449,35
INSERCAO,366406996,342,28
INSERCAO,158737533,307,25
INSERCAO,821977860,401,37
INSERCAO,550706067,410,36
INSERCAO,270071036,283,29
INSERCAO,194739793,377,26
INSERCAO,640278345,365,41
INSERCAO,580825380,387,38
INSERCAO,585117174,400,30
INSERCAO,314172587,367,37
INSERCAO,813422729,413,30
INSERCAO,464309728,359,36
INSERCAO,262918530,343,39
INSERCAO,870743857,754,38
INSERCAO,005214386,278,30
INSERCAO,350871741,399,33
INSERCAO,329872225,365,42
INSERCAO,544748467,375,39
INSERCAO,256782418,337,37
INSERCAO,601333044,309,31
INSERCAO,605098972,398,23
INSERCAO,732320514,327,32
INSERCAO,155646314,261,33
INSERCAO,427642021,325,34
INSERCAO,263469022,260,24
INSERCAO,904684397,460,40
INSERCAO,409585255,3266,43
INSERCAO,609191740,444,40
INSERCAO,358654677,329,41
INSERCAO,541878781,464,35
INSERCAO,346224240,387,41
INSERCAO,799085845,486,44
INSERCAO,059358828,395,38
INSERCAO,795352015,372,45
INSERCAO,918090398,331,39
INSERCAO,205918293,525,27
INSERCAO,541880334,385,34
INSERCAO,309596488,400,40
INSERCAO,981637792,365,25
INSERCAO,555162707,481,42
INSERCAO,246657851,310,36
INSERCAO,221429068,361,41
INSERCAO,813607044,323,35
INSERCAO,957165978,374,42
INSERCAO,795705777,522,43
INSERCAO,505869498,373,43
INSERCAO,466357213,393,28
INSERCAO,951982789,551,31
INSERCAO,793449890,560,42
INSERCAO,338960674,377,36
INSERCAO,823096208,436,44
INSERCAO,604610948,311,45
INSERCAO,850791319,275,32
INSERCAO,222140052,455,26
INSERCAO,814503995,494,46
INSERCAO,286065083,321,29
INSERCAO,532866017,416,44
INSERCAO,813306004,326,37
INSERCAO,219267395,397,47
INSERCAO,053520585,331,48
INSERCAO,932585911,405,37
INSERCAO,656185385,422,49
INSERCAO,623850105,478,50
INSERCAO,043517158,364,46
INSERCAO,097740273,394,30
INSERCAO,551107689,343,33
INSERCAO,049255077,400,45
INSERCAO,278619488,372,47
INSERCAO,984680990,475,43
INSERCAO,437420350,411,44
INSERCAO,095031961,381,38
INSERCAO,298838728,366,48
INSERCAO,547310730,431,45
INSERCAO,669648981,302,39
INSERCAO,188440340,381,46
INSERCAO,744704123,365,31
INSERCAO,587374762,397,27
INSERCAO,429539420,457,47
INSERCAO,900727306,458,31
INSERCAO,669262738,344,49
INSERCAO,968902030,362,48
INSERCAO,756709927,460,46
INSERCAO,030232341,316,40
INSERCAO,603351511,319,41
INSERCAO,234454031,288,42
INSERCAO,417357714,447,38
INSERCAO,801036538,387,50
INSERCAO,589243305,393,51
INSERCAO,630046215,381,52
INSERCAO,172727016,331,32
INSERCAO,678248237,353,47
INSERCAO,630300607,375,48
INSERCAO,144229609,634,34
INSERCAO,381152865,397,53
INSERCAO,366543256,579,33
INSERCAO,034082384,382,39
INSERCAO,008501978,598,51
INSERCAO,296680655,688,54
INSERCAO,238009780,504,49
INSERCAO,613598058,662,52
INSERCAO,017678115,389,55
INSERCAO,688328072,635,28
INSERCAO,666934600,492,50
INSERCAO,072604370,378,51
INSERCAO,633557154,415,40
INSERCAO,221456902,285,29
INSERCAO,340206960,397,52
INSERCAO,633411157,451,49
INSERCAO,603903447,320,50
INSERCAO,979047258,449,53
INSERCAO,486019948,534,54
