operacao,dado,tempo_ns,colisoes
INSERCAO,767492538,675,6
INSERCAO,247007724,394,7
INSERCAO,903850093,628,5
INSERCAO,282533996,529,7
INSERCAO,344218418,311,3
INSERCAO,858283561,360,6
INSERCAO,714107663,308,3
INSERCAO,331555060,349,3
INSERCAO,781567694,366,4
INSERCAO,802152318,436,5
INSERCAO,895540852,442,7
INSERCAO,210733268,366,4
INSERCAO,654129399,389,6
INSERCAO,143437938,437,3
INSERCAO,854568626,388,5
INSERCAO,095720278,333,4
INSERCAO,741458179,394,6
INSERCAO,864840710,709,5
INSERCAO,650859489,442,7
INSERCAO,946918614,847,4
INSERCAO,849537083,456,5
INSERCAO,715303048,636,5
INSERCAO,602471811,412,4
INSERCAO,353155708,395,4
INSERCAO,580990065,4517,6
INSERCAO,812285069,725,7
INSERCAO,156595463,565,6
INSERCAO,178750090,358,4
INSERCAO,481975920,579,4
INSERCAO,235630187,556,6
INSERCAO,831146782,371,3
INSERCAO,162742816,381,3
INSERCAO,793447022,434,2
INSERCAO,012779292,326,3
INSERCAO,773885812,304,3
INSERCAO,050603085,493,3
INSERCAO,733765649,410,7
INSERCAO,316720776,576,8
INSERCAO,599753021,365,5
INSERCAO,084571756,425,3
INSERCAO,186114057,497,8
INSERCAO,984555781,484,5
INSERCAO,354513263,696,5
INSERCAO,044015610,686,5
INSERCAO,469873143,684,8
INSERCAO,894979302,513,8
INSERCAO,606920273,608,7
INSERCAO,653167873,389,6
INSERCAO,663208079,415,7
INSERCAO,128251821,560,6
INSERCAO,826843877,394,3
INSERCAO,541156019,385,8
INSERCAO,949740655,354,2
INSERCAO,959677549,388,3
INSERCAO,604266972,442,5
INSERCAO,516960254,594,4
INSERCAO,658409833,362,7
INSERCAO,738488731,975,8
INSERCAO,161622263,552,7
INSERCAO,097252574,508,5
INSERCAO,818449576,749,5
INSERCAO,584935763,401,7
INSERCAO,807362012,512,4
INSERCAO,790953542,412,4
INSERCAO,584887548,366,3
INSERCAO,220146937,490,7
INSERCAO,232267803,361,4
INSERCAO,029793735,321,4
INSERCAO,671163079,676,8
INSERCAO,733360435,490,4
INSERCAO,468615708,388,4
INSERCAO,997718111,504,6
INSERCAO,784572845,365,4
INSERCAO,045807655,312,5
INSERCAO,654576717,432,4
INSERCAO,717054207,483,5
INSERCAO,935430936,414,4
INSERCAO,539669456,756,8
INSERCAO,472576612,525,6
INSERCAO,244047026,282,2
INSERCAO,866474731,454,7
INSERCAO,333872749,273,2
INSERCAO,810403068,561,6
INSERCAO,549450466,447,9
INSERCAO,037921354,451,6
INSERCAO,531985025,594,5
INSERCAO,565460594,308,5
INSERCAO,547882028,547,4
INSERCAO,125020418,1085,5
INSERCAO,100302068,396,6
INSERCAO,782450528,352,6
INSERCAO,174039116,317,3
INSERCAO,968649111,411,6
INSERCAO,214863191,523,7
INSERCAO,406826164,337,5
INSERCAO,936154935,323,3
INSERCAO,535944169,573,9
INSERCAO,194130501,515,8
INSERCAO,911874924,561,5
INSERCAO,565378376,541,10
INSERCAO,305703042,520,7
INSERCAO,474428901,606,6
INSERCAO,043735536,494,4
INSERCAO,159870610,670,5
INSERCAO,882552446,515,6
INSERCAO,504892555,459,6
INSERCAO,443846484,352,6
INSERCAO,612622359,525,9
INSERCAO,014998910,467,4
INSERCAO,736313991,722,9
INSERCAO,533188490,697,5
INSERCAO,720214477,437,6
INSERCAO,742226900,376,4
INSERCAO,781029221,447,6
INSERCAO,191524256,433,4
INSERCAO,201629742,475,8
INSERCAO,090299770,348,4
INSERCAO,402545590,343,4
INSERCAO,380164679,377,3
INSERCAO,231846480,417,5
INSERCAO,591818777,489,5
INSERCAO,542338894,417,6
INSERCAO,891020455,359,3
INSERCAO,982124401,533,7
INSERCAO,186170578,494,5
INSERCAO,361432555,499,6
INSERCAO,514072844,418,7
INSERCAO,490971280,465,6
INSERCAO,476167298,370,4
INSERCAO,146558387,734,9
INSERCAO,567151789,549,10
INSERCAO,851867517,493,4
INSERCAO,077170825,435,4
INSERCAO,407426316,628,7
INSERCAO,422118179,324,4
INSERCAO,251270599,275,3
INSERCAO,956925685,366,3
INSERCAO,052529812,682,8
INSERCAO,533111285,475,6
INSERCAO,404815484,334,6
INSERCAO,552520741,285,3
INSERCAO,017605562,447,4
INSERCAO,959725247,673,7
INSERCAO,861650956,625,7
INSERCAO,659323902,396,6
INSERCAO,747430909,599,7
INSERCAO,615629388,420,4
INSERCAO,416688841,662,6
INSERCAO,118855136,517,4
INSERCAO,879721081,456,6
INSERCAO,216771496,470,5
INSERCAO,503673502,466,7
INSERCAO,663267663,902,8
INSERCAO,311018509,378,4
INSERCAO,205491379,436,4
INSERCAO,846803320,508,6
INSERCAO,861081754,600,6
INSERCAO,516649982,329,5
INSERCAO,658036404,601,5
INSERCAO,937383885,529,4
INSERCAO,521616061,336,6
INSERCAO,058888290,522,6
INSERCAO,072443002,617,9
INSERCAO,020157136,292,3
INSERCAO,364580944,427,5
INSERCAO,713293440,614,5
INSERCAO,809244126,499,6
INSERCAO,958517764,318,3
INSERCAO,321943204,373,6
INSERCAO,374405200,571,5
INSERCAO,907334342,804,8
INSERCAO,069729013,280,3
INSERCAO,184981561,697,9
INSERCAO,860167964,400,7
INSERCAO,876949764,352,7
INSERCAO,826252843,691,6
INSERCAO,949613660,298,3
INSERCAO,284867391,423,6
INSERCAO,202865420,511,6
INSERCAO,101496653,339,4
INSERCAO,684985194,315,4
INSERCAO,877471968,577,5
INSERCAO,278678655,647,8
INSERCAO,002469507,518,2
INSERCAO,729896208,620,7
INSERCAO,077234285,680,5
INSERCAO,634499684,609,6
INSERCAO,729321670,338,6
INSERCAO,802620595,552,5
INSERCAO,449783635,377,4
INSERCAO,484315224,598,8
INSERCAO,305578022,511,9
INSERCAO,114005750,302,3
INSERCAO,337690713,572,6
INSERCAO,782453987,468,4
INSERCAO,484604599,459,5
INSERCAO,299460440,345,6
INSERCAO,608458650,576,6
INSERCAO,272777959,454,5
INSERCAO,054439961,447,7
INSERCAO,330007547,538,4
INSERCAO,632865821,437,5
