operacao,dado,tempo_ns,colisoes
INSERCAO,698351333,1006,0
INSERCAO,529294491,165,0
INSERCAO,526454921,47,0
INSERCAO,648070347,42,0
INSERCAO,829708007,37,0
INSERCAO,692983215,44,0
INSERCAO,792567154,38,0
INSERCAO,797107022,40,0
INSERCAO,592622681,102,0
INSERCAO,667589032,40,0
INSERCAO,142803213,43,0
INSERCAO,932522173,117,0
INSERCAO,294023053,89,0
INSERCAO,836977161,42,0
INSERCAO,166018526,38,0
INSERCAO,956126274,36,0
INSERCAO,780429097,58,0
INSERCAO,241881019,36,0
INSERCAO,462774010,42,0
INSERCAO,999704681,174,1
INSERCAO,432894319,44,1
INSERCAO,831322674,61,1
INSERCAO,505053723,53,0
INSERCAO,392660688,37,0
INSERCAO,036672407,78,1
INSERCAO,836236319,116,5
INSERCAO,758469330,65,0
INSERCAO,596261994,60,0
INSERCAO,634878808,134,1
INSERCAO,078714315,51,1
INSERCAO,798769883,61,0
INSERCAO,183575663,60,0
INSERCAO,520097559,53,0
INSERCAO,806586764,38,0
INSERCAO,616987620,187,5
INSERCAO,254641876,49,0
INSERCAO,618873101,37,0
INSERCAO,088059496,51,0
INSERCAO,404507074,97,3
INSERCAO,297440187,37,0
INSERCAO,783536336,45,0
INSERCAO,379959923,120,4
INSERCAO,856579083,74,1
INSERCAO,145837273,103,5
INSERCAO,265277396,150,2
INSERCAO,745333279,163,0
INSERCAO,688386104,32,0
INSERCAO,006297401,64,1
INSERCAO,412827145,43,0
INSERCAO,862871557,39,0
INSERCAO,897261146,41,0
INSERCAO,898601820,153,8
INSERCAO,101043194,76,1
INSERCAO,648822540,39,0
INSERCAO,657365231,50,0
INSERCAO,921457885,38,0
INSERCAO,778671688,74,1
INSERCAO,792484200,45,0
INSERCAO,755899384,83,2
INSERCAO,259680057,78,1
INSERCAO,106505290,126,0
INSERCAO,856074775,108,5
INSERCAO,861236807,98,4
INSERCAO,150288398,71,1
INSERCAO,108792369,192,0
INSERCAO,029362962,43,0
INSERCAO,249105267,37,0
INSERCAO,028391850,30,0
INSERCAO,906298328,85,1
INSERCAO,864222908,95,4
INSERCAO,276042917,42,0
INSERCAO,456479655,36,0
INSERCAO,225217849,40,0
INSERCAO,996804352,43,0
INSERCAO,506667322,199,12
INSERCAO,719163414,12210,0
INSERCAO,420035936,229,1
INSERCAO,060041900,40,0
INSERCAO,129293339,136,0
INSERCAO,929041088,105,4
INSERCAO,398298832,69,1
INSERCAO,052852350,46,0
INSERCAO,845582623,38,0
INSERCAO,619902746,79,2
INSERCAO,989488197,47,0
INSERCAO,191293162,66,1
INSERCAO,660530204,53,0
INSERCAO,024676276,79,2
INSERCAO,847281574,40,0
INSERCAO,659832328,84,1
INSERCAO,535644013,98,3
INSERCAO,827165159,62,1
