operacao,dado,tempo_ns,colisoes
INSERCAO,638586598,119,0
INSERCAO,692941934,95,0
INSERCAO,390783470,84,0
INSERCAO,662901082,82,0
INSERCAO,271213166,82,0
INSERCAO,123217259,61,0
INSERCAO,141171519,65,0
INSERCAO,855397305,64,0
INSERCAO,680072668,64,0
INSERCAO,742958652,66,0
INSERCAO,625281557,54,0
INSERCAO,853916974,57,0
INSERCAO,572392962,60,0
INSERCAO,344280498,133,1
INSERCAO,031012867,61,0
INSERCAO,946217327,62,0
INSERCAO,632838046,58,0
INSERCAO,345780562,78,1
INSERCAO,234716186,60,0
INSERCAO,267017055,56,0
INSERCAO,105153294,67,0
INSERCAO,845081124,64,0
INSERCAO,474818289,62,0
INSERCAO,098930652,82,1
INSERCAO,196599587,58,0
INSERCAO,299977753,57,0
INSERCAO,690577093,64,0
INSERCAO,000057414,63,0
INSERCAO,784807181,67,0
INSERCAO,447413273,61,0
INSERCAO,666241977,59,0
INSERCAO,946811534,138,1
INSERCAO,983536809,57,0
INSERCAO,212307006,64,0
INSERCAO,782387446,87,1
INSERCAO,117417132,63,0
INSERCAO,292892470,66,1
INSERCAO,486037389,71,1
INSERCAO,042006378,58,0
INSERCAO,148327926,63,0
INSERCAO,235205632,77,1
INSERCAO,203987025,71,0
INSERCAO,029065851,67,0
INSERCAO,391481863,64,0
INSERCAO,159220390,59,0
INSERCAO,560181236,56,0
INSERCAO,254399120,64,0
INSERCAO,212259146,109,2
INSERCAO,819750573,76,1
INSERCAO,819989275,71,0
INSERCAO,831850736,79,1
INSERCAO,136529504,68,0
INSERCAO,790654000,58,0
INSERCAO,455729286,128,1
INSERCAO,016755207,62,0
INSERCAO,981753624,306,1
INSERCAO,411513632,85,2
INSERCAO,835906454,66,0
INSERCAO,455302440,58,0
INSERCAO,039664742,71,0
INSERCAO,178953004,76,1
INSERCAO,200746389,88,2
INSERCAO,906596397,65,0
INSERCAO,890238634,141,2
INSERCAO,167189980,69,0
INSERCAO,066547876,76,0
INSERCAO,432786433,58,0
INSERCAO,999690260,74,0
INSERCAO,740345585,58,0
INSERCAO,099847718,59,0
INSERCAO,395545896,56,0
INSERCAO,459945397,81,1
INSERCAO,511199491,70,0
INSERCAO,475780552,149,2
INSERCAO,765734663,79,1
