operacao,dado,tempo_ns,colisoes
INSERCAO,638586598,152,0
INSERCAO,692941934,54,0
INSERCAO,390783470,48,0
INSERCAO,662901082,49,0
INSERCAO,271213166,50,0
INSERCAO,123217259,41,0
INSERCAO,141171519,42,0
INSERCAO,855397305,45,0
INSERCAO,680072668,37,0
INSERCAO,742958652,43,0
INSERCAO,625281557,39,0
INSERCAO,853916974,36,0
INSERCAO,572392962,41,0
INSERCAO,344280498,78,1
INSERCAO,031012867,64,0
INSERCAO,946217327,52,0
INSERCAO,632838046,36,0
INSERCAO,345780562,74,1
INSERCAO,234716186,39,0
INSERCAO,267017055,37,0
INSERCAO,105153294,39,0
INSERCAO,845081124,37,0
INSERCAO,474818289,38,0
INSERCAO,098930652,69,1
INSERCAO,196599587,37,0
INSERCAO,299977753,68,1
INSERCAO,690577093,42,0
INSERCAO,000057414,37,0
INSERCAO,784807181,54,0
INSERCAO,447413273,38,0
INSERCAO,666241977,42,0
INSERCAO,946811534,70,1
INSERCAO,983536809,41,0
INSERCAO,212307006,39,0
INSERCAO,782387446,62,1
INSERCAO,117417132,31,0
INSERCAO,292892470,70,1
INSERCAO,486037389,63,1
INSERCAO,042006378,38,0
INSERCAO,148327926,41,0
INSERCAO,235205632,64,1
INSERCAO,203987025,42,0
INSERCAO,029065851,36,0
INSERCAO,391481863,55,1
INSERCAO,159220390,69,1
INSERCAO,560181236,39,0
INSERCAO,254399120,39,0
INSERCAO,212259146,97,2
INSERCAO,819750573,62,2
INSERCAO,819989275,69,1
INSERCAO,831850736,63,1
INSERCAO,136529504,64,0
INSERCAO,790654000,38,0
INSERCAO,455729286,78,2
INSERCAO,016755207,38,0
INSERCAO,981753624,107,4
INSERCAO,411513632,178,6
INSERCAO,835906454,80,2
INSERCAO,455302440,54,0
INSERCAO,039664742,44,0
INSERCAO,178953004,91,4
INSERCAO,200746389,89,3
INSERCAO,906596397,65,0
INSERCAO,890238634,109,5
INSERCAO,167189980,59,0
INSERCAO,066547876,97,3
INSERCAO,432786433,147,8
INSERCAO,999690260,63,0
