operacao,dado,tempo_ns,colisoes
INSERCAO,698351333,912,0
INSERCAO,529294491,320,0
INSERCAO,526454921,450,1
INSERCAO,648070347,199,0
INSERCAO,829708007,227,1
INSERCAO,692983215,209,0
INSERCAO,792567154,192,0
INSERCAO,797107022,432,4
INSERCAO,592622681,4707,2
INSERCAO,667589032,204,0
INSERCAO,142803213,331,3
INSERCAO,932522173,341,4
INSERCAO,294023053,300,5
INSERCAO,836977161,281,3
INSERCAO,166018526,229,0
INSERCAO,956126274,3905,1
INSERCAO,780429097,251,1
INSERCAO,241881019,243,0
INSERCAO,462774010,206,0
INSERCAO,999704681,309,3
INSERCAO,432894319,224,0
INSERCAO,831322674,273,2
INSERCAO,505053723,248,2
INSERCAO,392660688,199,0
INSERCAO,036672407,264,2
INSERCAO,836236319,242,1
INSERCAO,758469330,252,2
INSERCAO,596261994,265,3
INSERCAO,634878808,366,12
INSERCAO,078714315,252,3
INSERCAO,798769883,5123,4
INSERCAO,183575663,326,0
INSERCAO,520097559,237,0
INSERCAO,806586764,273,5
INSERCAO,616987620,231,0
INSERCAO,254641876,252,1
INSERCAO,618873101,234,0
INSERCAO,088059496,235,0
INSERCAO,404507074,308,4
INSERCAO,297440187,271,1
INSERCAO,783536336,280,1
INSERCAO,379959923,224,0
INSERCAO,856579083,325,8
INSERCAO,145837273,230,0
INSERCAO,265277396,300,4
INSERCAO,745333279,280,2
INSERCAO,688386104,234,0
INSERCAO,006297401,351,11
INSERCAO,412827145,268,0
INSERCAO,862871557,2662,17
INSERCAO,897261146,300,0
INSERCAO,898601820,445,0
INSERCAO,101043194,559,2
INSERCAO,648822540,442,4
INSERCAO,657365231,364,0
INSERCAO,921457885,425,10
INSERCAO,778671688,332,4
INSERCAO,792484200,475,18
INSERCAO,755899384,306,5
INSERCAO,259680057,366,8
INSERCAO,106505290,8692,0
INSERCAO,856074775,261,0
INSERCAO,861236807,269,2
INSERCAO,150288398,252,0
INSERCAO,108792369,475,0
INSERCAO,029362962,400,0
INSERCAO,249105267,358,0
INSERCAO,028391850,259,1
INSERCAO,906298328,260,1
INSERCAO,864222908,224,0
INSERCAO,276042917,434,1
INSERCAO,456479655,249,0
INSERCAO,225217849,346,3
INSERCAO,996804352,210,0
INSERCAO,506667322,296,5
INSERCAO,719163414,254,0
INSERCAO,420035936,245,0
INSERCAO,060041900,283,4
INSERCAO,129293339,265,2
INSERCAO,929041088,216,0
INSERCAO,398298832,2032,0
INSERCAO,052852350,297,0
INSERCAO,845582623,201,0
INSERCAO,619902746,312,3
INSERCAO,989488197,292,2
INSERCAO,191293162,291,4
INSERCAO,660530204,319,5
INSERCAO,024676276,272,2
INSERCAO,847281574,222,0
INSERCAO,659832328,309,4
INSERCAO,535644013,283,4
INSERCAO,827165159,308,8
INSERCAO,840416632,224,0
INSERCAO,533981428,207,0
INSERCAO,771064211,227,0
INSERCAO,721246537,249,1
INSERCAO,093308446,284,4
INSERCAO,643470483,240,1
INSERCAO,387487183,276,2
INSERCAO,762646131,241,1
INSERCAO,216067841,201,0
INSERCAO,380528505,283,6
INSERCAO,280753696,259,1
INSERCAO,270625834,267,2
INSERCAO,375250358,255,2
INSERCAO,548978502,219,0
INSERCAO,011614611,263,2
INSERCAO,471268530,308,6
INSERCAO,731190271,252,2
INSERCAO,378251882,429,16
INSERCAO,972778627,204,0
INSERCAO,490194349,216,0
INSERCAO,343014705,269,1
INSERCAO,856218592,334,4
INSERCAO,912798113,709,29
INSERCAO,039226949,223,0
INSERCAO,960519162,334,9
INSERCAO,049097303,221,0
INSERCAO,589937774,306,4
INSERCAO,127585830,213,0
INSERCAO,376549075,14136,0
INSERCAO,180064441,346,3
INSERCAO,020322295,227,0
INSERCAO,929312283,332,6
INSERCAO,043911569,295,0
INSERCAO,885460312,328,0
INSERCAO,715968958,272,0
INSERCAO,150030363,322,7
INSERCAO,760549815,272,1
INSERCAO,305013945,338,4
INSERCAO,619246594,338,2
INSERCAO,638352950,235,0
INSERCAO,212782835,487,2
INSERCAO,979517564,262,1
INSERCAO,219001037,276,0
INSERCAO,182254161,223,0
INSERCAO,572571101,382,0
INSERCAO,454780757,367,1
INSERCAO,100089584,218,0
INSERCAO,839526410,258,1
INSERCAO,470786458,206,0
INSERCAO,459875052,279,0
INSERCAO,826922503,214,0
INSERCAO,764144789,233,0
INSERCAO,081914422,223,0
INSERCAO,445128311,327,0
INSERCAO,554353035,350,1
INSERCAO,773517488,268,0
INSERCAO,647293038,267,0
INSERCAO,486456073,201,0
INSERCAO,149317743,333,3
INSERCAO,585629173,230,0
INSERCAO,478316076,210,0
INSERCAO,284305687,490,3
INSERCAO,010811091,309,2
INSERCAO,395811036,211,0
INSERCAO,007503650,277,1
INSERCAO,899401177,268,0
INSERCAO,037207617,275,0
INSERCAO,769138680,229,0
INSERCAO,300467251,298,1
INSERCAO,262783034,247,1
INSERCAO,887730771,351,5
INSERCAO,638296945,280,4
INSERCAO,433661863,272,0
INSERCAO,496081801,284,4
INSERCAO,276557235,278,4
INSERCAO,058592420,309,1
INSERCAO,910642037,390,9
INSERCAO,509739847,308,5
INSERCAO,434357026,306,0
INSERCAO,488721826,260,1
INSERCAO,687683279,236,0
INSERCAO,200785627,298,1
INSERCAO,078165442,233,0
INSERCAO,725922754,342,5
INSERCAO,938114832,275,1
INSERCAO,382053022,351,0
INSERCAO,760565687,619,0
INSERCAO,038114203,457,9
INSERCAO,148694348,200,0
INSERCAO,238167444,182,0
INSERCAO,869506761,323,5
INSERCAO,851905976,255,2
INSERCAO,151042295,268,5
INSERCAO,767492538,268,3
INSERCAO,247007724,214,0
INSERCAO,903850093,305,3
INSERCAO,282533996,323,1
INSERCAO,344218418,211,0
INSERCAO,858283561,289,4
INSERCAO,714107663,263,1
INSERCAO,331555060,260,0
INSERCAO,781567694,251,1
INSERCAO,802152318,231,1
INSERCAO,895540852,286,2
INSERCAO,210733268,228,0
INSERCAO,654129399,342,8
INSERCAO,143437938,232,1
INSERCAO,854568626,311,7
INSERCAO,095720278,247,2
INSERCAO,741458179,267,0
INSERCAO,864840710,210,0
INSERCAO,650859489,318,9
INSERCAO,946918614,330,10
INSERCAO,849537083,289,6
INSERCAO,715303048,354,9
INSERCAO,602471811,202,0
INSERCAO,353155708,355,5
INSERCAO,580990065,370,11
INSERCAO,812285069,206,0
INSERCAO,156595463,236,1
INSERCAO,178750090,308,8
INSERCAO,481975920,214,0
INSERCAO,235630187,265,0
INSERCAO,831146782,279,3
INSERCAO,162742816,451,2
INSERCAO,793447022,201,0
INSERCAO,012779292,265,0
INSERCAO,773885812,329,10
INSERCAO,050603085,248,2
INSERCAO,733765649,501,19
INSERCAO,316720776,223,0
INSERCAO,599753021,256,2
INSERCAO,084571756,298,5
INSERCAO,186114057,268,1
INSERCAO,984555781,195,0
INSERCAO,354513263,363,14
INSERCAO,044015610,313,1
INSERCAO,469873143,198,0
INSERCAO,894979302,488,0
INSERCAO,606920273,220,1
INSERCAO,653167873,300,7
INSERCAO,663208079,215,1
INSERCAO,128251821,193,0
INSERCAO,826843877,222,1
INSERCAO,541156019,318,2
INSERCAO,949740655,246,2
INSERCAO,959677549,226,1
INSERCAO,604266972,218,1
INSERCAO,516960254,31557,0
INSERCAO,658409833,325,0
INSERCAO,738488731,243,2
INSERCAO,161622263,415,3
INSERCAO,097252574,220,0
INSERCAO,818449576,218,0
INSERCAO,584935763,215,0
INSERCAO,807362012,229,1
INSERCAO,790953542,232,1
INSERCAO,584887548,230,1
INSERCAO,220146937,220,0
INSERCAO,232267803,297,6
INSERCAO,029793735,211,0
INSERCAO,671163079,204,0
INSERCAO,733360435,255,2
INSERCAO,468615708,211,0
INSERCAO,997718111,244,0
INSERCAO,784572845,197,0
INSERCAO,045807655,255,3
INSERCAO,654576717,291,1
INSERCAO,717054207,295,0
INSERCAO,935430936,213,0
INSERCAO,539669456,239,1
INSERCAO,472576612,231,0
INSERCAO,244047026,239,1
INSERCAO,866474731,212,0
INSERCAO,333872749,220,1
INSERCAO,810403068,347,7
INSERCAO,549450466,185,0
INSERCAO,037921354,213,0
INSERCAO,531985025,221,0
INSERCAO,565460594,260,2
INSERCAO,547882028,205,0
INSERCAO,125020418,196,0
INSERCAO,100302068,317,5
INSERCAO,782450528,183,0
INSERCAO,174039116,196,0
INSERCAO,968649111,216,0
INSERCAO,214863191,196,0
INSERCAO,406826164,199,0
INSERCAO,936154935,333,5
INSERCAO,535944169,239,0
INSERCAO,194130501,178,0
INSERCAO,911874924,298,1
INSERCAO,565378376,192,0
INSERCAO,305703042,185,0
INSERCAO,474428901,207,0
INSERCAO,043735536,219,1
INSERCAO,159870610,253,3
INSERCAO,882552446,397,0
INSERCAO,504892555,386,1
INSERCAO,443846484,229,0
INSERCAO,612622359,223,1
INSERCAO,014998910,324,6
INSERCAO,736313991,261,0
INSERCAO,533188490,263,2
INSERCAO,720214477,260,3
INSERCAO,742226900,301,0
INSERCAO,781029221,272,2
INSERCAO,191524256,253,2
INSERCAO,201629742,300,0
INSERCAO,090299770,372,2
INSERCAO,402545590,244,1
INSERCAO,380164679,246,1
INSERCAO,231846480,257,2
INSERCAO,591818777,211,0
INSERCAO,542338894,218,1
INSERCAO,891020455,274,4
INSERCAO,982124401,486,0
INSERCAO,186170578,176,0
INSERCAO,361432555,176,0
INSERCAO,514072844,227,2
INSERCAO,490971280,185,0
INSERCAO,476167298,249,2
INSERCAO,146558387,205,1
INSERCAO,567151789,223,1
INSERCAO,851867517,191,0
INSERCAO,077170825,235,1
INSERCAO,407426316,246,1
INSERCAO,422118179,233,0
INSERCAO,251270599,337,3
INSERCAO,956925685,206,0
INSERCAO,052529812,360,8
INSERCAO,533111285,249,1
INSERCAO,404815484,454,1
INSERCAO,552520741,305,0
INSERCAO,017605562,288,3
INSERCAO,959725247,235,0
INSERCAO,861650956,275,5
INSERCAO,659323902,517,0
INSERCAO,747430909,1520,9
INSERCAO,615629388,224,1
INSERCAO,416688841,249,2
INSERCAO,118855136,226,1
INSERCAO,879721081,204,0
INSERCAO,216771496,298,7
INSERCAO,503673502,333,3
INSERCAO,663267663,648,1
INSERCAO,311018509,227,1
INSERCAO,205491379,328,1
INSERCAO,846803320,251,3
INSERCAO,861081754,224,0
INSERCAO,516649982,234,1
INSERCAO,658036404,229,1
INSERCAO,937383885,223,1
INSERCAO,521616061,316,1
INSERCAO,058888290,209,0
INSERCAO,072443002,322,6
INSERCAO,020157136,252,3
INSERCAO,364580944,217,1
INSERCAO,713293440,198,0
INSERCAO,809244126,221,1
INSERCAO,958517764,240,0
INSERCAO,321943204,316,0
INSERCAO,374405200,276,5
INSERCAO,907334342,283,2
INSERCAO,069729013,286,5
INSERCAO,184981561,277,5
INSERCAO,860167964,293,7
INSERCAO,876949764,267,1
INSERCAO,826252843,277,0
INSERCAO,949613660,251,2
INSERCAO,284867391,252,0
INSERCAO,202865420,310,2
INSERCAO,101496653,202,0
INSERCAO,684985194,297,8
INSERCAO,877471968,359,3
INSERCAO,278678655,199,0
INSERCAO,002469507,275,1
INSERCAO,729896208,221,0
INSERCAO,077234285,262,1
INSERCAO,634499684,218,0
INSERCAO,729321670,207,0
INSERCAO,802620595,269,4
INSERCAO,449783635,354,5
INSERCAO,484315224,262,0
INSERCAO,305578022,198,0
INSERCAO,114005750,280,5
INSERCAO,337690713,234,1
INSERCAO,782453987,205,0
INSERCAO,484604599,536,1
INSERCAO,299460440,267,2
INSERCAO,608458650,218,0
INSERCAO,272777959,326,8
INSERCAO,054439961,238,0
INSERCAO,330007547,200,0
INSERCAO,632865821,189,0
INSERCAO,049397810,352,2
INSERCAO,681864611,248,1
INSERCAO,981099391,294,8
INSERCAO,996563731,407,17
INSERCAO,192593202,196,0
INSERCAO,899583276,238,1
INSERCAO,848349453,259,2
INSERCAO,132895916,254,2
INSERCAO,410111944,267,1
INSERCAO,419977333,293,6
INSERCAO,691660400,272,4
INSERCAO,331128470,290,0
INSERCAO,681109813,343,0
