operacao,dado,tempo_ns,colisoes
INSERCAO,564902406,504,0
INSERCAO,027971226,114,0
INSERCAO,873486950,46,0
INSERCAO,540213407,46,0
INSERCAO,973061398,151,0
INSERCAO,222573537,29,0
INSERCAO,988414633,41,0
INSERCAO,586108601,45,0
INSERCAO,304462022,42,0
INSERCAO,244156991,53,0
INSERCAO,373606024,43,0
INSERCAO,495406553,118,0
INSERCAO,001224766,122,0
INSERCAO,584866052,41,0
INSERCAO,751021590,48,0
INSERCAO,662539071,29,0
INSERCAO,029598435,46,0
INSERCAO,764176873,55,0
INSERCAO,087039988,50,0
INSERCAO,836893717,64,0
INSERCAO,687959623,144,0
INSERCAO,598990571,156,1
INSERCAO,761502433,58,1
INSERCAO,698596038,77,0
INSERCAO,974663872,97,2
INSERCAO,393246727,65,0
INSERCAO,498073135,90,1
INSERCAO,826234425,139,0
INSERCAO,980973271,123,4
INSERCAO,529890037,78,2
INSERCAO,659915932,76,0
INSERCAO,417736277,60,0
INSERCAO,611475169,47,0
INSERCAO,869424058,45,0
INSERCAO,661373921,41,0
INSERCAO,984349244,42,0
INSERCAO,250674265,108,0
INSERCAO,576699525,112,3
INSERCAO,315355787,122,0
INSERCAO,525571624,115,5
INSERCAO,532449193,61,0
INSERCAO,616746807,82,1
INSERCAO,108006660,44,0
INSERCAO,914325055,52,0
INSERCAO,786099010,44,0
INSERCAO,214748902,47,0
INSERCAO,245105992,56,0
INSERCAO,509098130,40,0
INSERCAO,780039825,334,6
INSERCAO,874756197,44,0
INSERCAO,517507835,114,5
INSERCAO,654774114,42,0
INSERCAO,839371532,161,9
INSERCAO,648733777,89,1
INSERCAO,821016047,38,0
INSERCAO,520577144,84,1
INSERCAO,720983935,134,7
INSERCAO,912049399,52,0
INSERCAO,144519874,83,2
INSERCAO,585654817,75,1
INSERCAO,548937860,57,1
INSERCAO,231266531,279,12
INSERCAO,200224165,71,2
INSERCAO,966928842,155,4
INSERCAO,341642758,54,1
INSERCAO,044607287,68,2
INSERCAO,206502964,79,0
INSERCAO,192293418,62,1
INSERCAO,240115587,147,7
INSERCAO,195310991,100,4
INSERCAO,916996435,161,13
INSERCAO,688947896,66,0
INSERCAO,900943894,101,6
INSERCAO,181883737,141,12
INSERCAO,346998729,219,22
INSERCAO,129512050,1919,0
INSERCAO,112467745,68,0
INSERCAO,927170327,135,1
INSERCAO,990003194,69,1
INSERCAO,870150903,78,0
INSERCAO,771905161,136,0
INSERCAO,819320830,70,0
INSERCAO,827762169,126,1
INSERCAO,280617000,53,0
INSERCAO,206778277,131,1
INSERCAO,506414042,115,1
INSERCAO,344884940,65,0
INSERCAO,437425184,82,0
INSERCAO,205778917,80,1
INSERCAO,842163407,105,2
INSERCAO,107088237,120,3
INSERCAO,838881333,59,1
INSERCAO,579446055,53,1
INSERCAO,120692456,55,1
INSERCAO,385833700,70,0
INSERCAO,365256175,79,0
INSERCAO,520802355,63,0
INSERCAO,395960469,64,0
INSERCAO,105549142,53,0
INSERCAO,934182327,177,12
INSERCAO,438153258,401,1
INSERCAO,610013503,125,1
INSERCAO,157794736,120,5
INSERCAO,985568471,92,5
INSERCAO,780158396,65,0
INSERCAO,590890641,79,0
INSERCAO,371417503,87,2
INSERCAO,993622006,88,5
INSERCAO,045074658,144,4
INSERCAO,109750231,54,0
INSERCAO,712400007,134,5
INSERCAO,825749838,112,7
INSERCAO,007683540,87,3
INSERCAO,090528226,216,3
INSERCAO,842278782,53,0
INSERCAO,709102988,181,14
INSERCAO,496625401,130,2
INSERCAO,979532965,124,2
INSERCAO,689358430,121,2
INSERCAO,431701590,136,14
INSERCAO,030582418,59,1
INSERCAO,103931701,114,0
INSERCAO,825619585,58,0
INSERCAO,288467030,161,16
INSERCAO,909354610,138,3
INSERCAO,460637344,69,2
INSERCAO,330597741,145,6
INSERCAO,633605386,58,0
INSERCAO,779491779,49,0
INSERCAO,461979818,121,2
INSERCAO,874845991,147,14
INSERCAO,831881820,54,1
INSERCAO,681244873,156,6
INSERCAO,545736885,198,0
INSERCAO,947549099,126,0
INSERCAO,130351002,135,12
INSERCAO,621785664,71,0
INSERCAO,826429709,77,0
INSERCAO,973947774,47,0
INSERCAO,851948586,294,29
INSERCAO,018296281,111,0
INSERCAO,825405802,164,14
INSERCAO,725221316,158,0
INSERCAO,255872856,120,7
INSERCAO,389977276,109,4
INSERCAO,586585613,297,35
INSERCAO,774436546,84,2
INSERCAO,942368750,68,1
INSERCAO,845405574,141,2
INSERCAO,748833586,458,63
INSERCAO,273674602,2733,3
INSERCAO,520738295,66,0
INSERCAO,784613856,122,0
INSERCAO,286766499,56,0
INSERCAO,194679684,69,0
INSERCAO,811212959,109,0
INSERCAO,308488125,43,0
INSERCAO,682616935,105,0
INSERCAO,858328699,142,1
INSERCAO,235101750,73,1
INSERCAO,034160176,104,0
INSERCAO,658205591,190,6
INSERCAO,695996610,87,2
INSERCAO,586680915,125,0
INSERCAO,325148647,60,0
INSERCAO,414198864,98,1
INSERCAO,255550433,94,1
INSERCAO,893235733,88,1
INSERCAO,270424904,124,0
INSERCAO,993015584,116,5
INSERCAO,090785413,75,0
INSERCAO,745530918,88,1
INSERCAO,316248427,62,1
INSERCAO,396237006,112,0
INSERCAO,603442976,98,2
